"band","species","beak_length","beak_depth","beak_width","recaptures"
"JP5135","scandens",15.1,8.1,8.11,0
"JP514","fuliginosa",8.12,7.32,7.3,0
"JP5142","fortis large",11.88,11.93,10.57,0
"JP5143","fortis small",11.59,10.33,9.59,0
"JP515","fuliginosa",8.16,6.65,6.99,0
"JP5150","fortis small",11.8,11.27,10.66,0
"JP5151","fortis small",10.96,9.33,8.45,0
"JP5156","fortis small",11.15,10.42,9.09,0
"JP5157","fortis small",11.12,11.56,9.54,0
"JP5158","fortis large",12.885,13.48,11.56,0
"JP5159","fortis small",11.865,10.43,9.435,4
"JP516","fuliginosa",8.25,6.78,7.19,0
"JP5160","fortis large",12.95,13.33,10.91,0
"JP5161","fortis small",10.53,10.15,9.14,0
"JP5162","fortis large",13.02,13.2,11.49,0
"JP5163","fortis small",11.6,10.77,9.57,0
"JP5164","fortis small",11.24,10.46,9.24,0
"JP5165","fortis small",12.4,10.57,9.9,1
"JP5166","fortis small",11.692,10.366,9.862,6
"JP5167","fortis large",13.37,15.15,13.2,0
"JP5168","fortis large",11.02,13.07,11.81,0
"JP517","fuliginosa",8.45,7.405,7.085,3
"JP5170","fortis large",13.21,14.11,11.87,0
"JP5171","fortis small",11.71,10.79,9.93,0
"JP5172","fortis small",10.67,9.6,8.86,0
"JP5177","scandens",13.5425,9.5075,8.1775,6
"JP5178","fortis large",13.52,14.305,12.865,0
"JP5179","fortis small",10.665,9.915,9.575,0
"JP518","fuliginosa",8.24,7.1,6.64,0
"JP5181","fortis small",10.98,11.48,9.99,0
"JP519","fuliginosa",8.59,6.83,6.67,0
"JP520","fuliginosa",8.63,7.11,6.76,0
"JP5202","fortis small",11.7,10.3,9.32,0
"JP5203","fortis small",10.17,9.405,8.31,4
"JP5204","fortis small",12.04,11.24,9.96,0
"JP521","fuliginosa",8.29,6.77,6.52,0
"JP5215","fortis small",12.4,11.425,10.16,0
"JP5216","fortis large",12.975,12.095,11.145,0
"JP5217","fortis large",13.73,13.295,11.71,0
"JP5218","fortis large",12.34,12.385,10.635,0
"JP522","fuliginosa",9.03,7.25,6.92,0
"JP5220","fortis small",12.17,10.93,9.81,0
"JP5222","scandens",13.135,9.375,8.615,0
"JP523","fuliginosa",7.43,7.24,7,0
"JP524","fuliginosa",8.39,7.13,6.87,0
"JP5244","fortis small",11.06,9.73,8.98,0
"JP5245","fortis small",12.02,10.65,9.14,0
"JP5246","fortis small",11.45,10.31,8.69,0
"JP5247","scandens",12.66,8.755,7.945,5
"JP5248","fortis small",11.8366666666667,10.05,9.19166666666667,6
"JP5249","fortis large",14.5,14.15,11.53,0
"JP525","fuliginosa",8.7,7.47,7.07,0
"JP5253","fortis small",11.08,9.71,8.54,0
"JP5254","fortis small",10.945,9.72,8.765,5
"JP5255","scandens",12.78,8.48,8.09,0
"JP5256","fortis small",11.79,10.57,9.61,0
"JP5268","scandens",15.05,8.68,8.3,0
"JP5269","scandens",15.23,9.12,8.54,0
"JP527","fuliginosa",8.37,6.91,6.74,0
"JP5270","fortis small",11.31,10.32,8.99,0
"JP5272","fortis small",12.07,10.23,9.31,0
"JP5273","fortis small",11.61,10.9,9.68,0
"JP5274","fortis small",10.7925,9.8975,9.0525,6
"JP5275","scandens",13.72,7.75,7.63,0
"JP5276","scandens",14.67,8.65,8,0
"JP5277","fortis small",11.15,9.99,8.48,0
"JP5278","scandens",14.17,7.97,7.37,0
"JP5279","scandens",13.34,8.76,8.05,0
"JP528","fuliginosa",8.22,6.71,6.765,1
"JP5280","fortis large",13.78,14.26,12.19,0
"JP5281","fortis large",12.79,13.51,11.5,0
"JP5282","fortis large",13.24,12.25,10.4,0
"JP5283","fortis large",13,13.55,11.73,0
"JP5284","fortis small",11.685,10.515,10.085,1
"JP5285","fortis large",13.63,13.34,11.39,0
"JP5286","fortis large",13.66,12.81,11.12,0
"JP5287","fortis small",11.01,9.95,8.73,0
"JP5288","scandens",13.52,7.85,7.61,0
"JP5290","fortis large",12.52,12.2,10.41,0
"JP5291","fortis small",10.9,9.89,8.99,0
"JP5292","fortis small",10.92,9.45,8.36,0
"JP5293","fortis small",11.92,11.65,10.25,0
"JP5294","fortis small",10.69,9.88,9.37,0
"JP5295","fortis small",11.81,10.67,9.18,0
"JP5296","scandens",14.12,8.42,8.33,0
"JP5297","fortis small",10.82,9.87,9.03,0
"JP5298","fortis small",11,10.58,9.06,0
"JP5299","scandens",13.55,7.82,7.83,0
"JP530","fuliginosa",8.48,6.72,6.77,0
"JP5300","fortis small",11.46,10.31,9.66,0
"JP5301","fortis large",12.82,12.12,11.06,0
"JP5302","fortis large",12.37,11.93,10.225,1
"JP5303","fortis small",11.1,11.03,10.02,0
"JP5304","fortis small",11.27,9.62,8.6,0
"JP5305","fortis small",10.92,9.85,9.19,0
"JP5306","fortis large",13.09,12.44,10.1,0
"JP5307","fortis large",12.57,12.74,10.37,0
"JP5308","fortis small",10.77,10.35,9.57,0
"JP5309","fortis small",11.38,10.24,9.18,0
"JP531","fuliginosa",8.53,6.92,6.64,0
"JP532","fuliginosa",9.04,7.52,7.54,0
"JP533","fuliginosa",8.84,7.29,6.91,0
"JP534","fuliginosa",8.64,7.2,7.03,0
"JP536","fuliginosa",8.72,7.07,6.53,0
"JP537","fuliginosa",8.88,7.74,6.8,0
"JP5394","scandens",12.85,8.01,8.25,0
"JP5395","scandens",14.63,9.24,8.68,0
"JP5396","scandens",14.86,8.88,8.83,0
"JP5397","fortis large",12.78,13.49,11.84,0
"JP5398","fortis large",13.22,12.59,11.22,0
"JP5399","fortis small",11.91,9.95,9.1,0
"JP5400","scandens",13.7,8.28,7.87,0
"JP5401","fortis large",14.34,13.02,11.52,0
"JP5402","fortis small",10.97,10.64,9.99,0
"JP5403","fortis small",10.84,10.26,9.71,0
"JP5411","scandens",14.57,8.935,8.28,2
"JP5412","fortis small",12,11.05,10.39,0
"JP5414","fortis small",10.62,9.11,9.2,0
"JP5417","fortis large",12.79,12.64,11.14,0
"JP5418","fortis large",13.29,13.3,11.46,0
"JP5420","fortis large",14.68,14.26,12.5,0
"JP5422","scandens",14.75,9.07,8.97,0
"JP5425","fortis small",11.62,9.94,9.19,0
"JP5443","fortis small",10.8,10.46,9.9,0
"JP5445","fortis large",13.76,12.85,11.91,0
